Charleston Southern,Buccaneers,Humans,#11467b,BSth,South Carolina
Charleston,Cougars,Land Animals,#772932,CAA,South Carolina
Central Michigan,Chippewas,Humans,#630237,MAC,Michigan
Central Connecticut State,Blue Devils,Mythical Creatures,#004385,NEC,Connecticut
Central Arkansas,Bears,Land Animals,#53327d,ASun,Arkansas
Canisius,Golden Griffins,Mythical Creatures,#eaac18,MAAC,New York
Campbell,Fighting Camels,Land Animals,#fa9223,CAA,North Carolina
California Baptist,Lancers,Humans,#002554,WAC,California
California,Golden Bears,Land Animals,#00325b,P12,California
Cal State Northridge,Matadors,Humans,#c70029,BW,California
Cal State Fullerton,Titans,Humans,#003057,BW,California
Cal State Bakersfield,Roadrunners,Birds,#003fa4,BW,California
Cal Poly,Mustangs,Land Animals,#005836,BW,California
Butler,Bulldogs,Land Animals,#00467f,BE,Indiana
Buffalo,Bulls,Land Animals,#041A9B,MAC,New York
Bucknell,Bison,Land Animals,#004c8b,Pat,Pennsylvania
Bryant University,Bulldogs,Land Animals,#a49372,AE,Rhode Island
Brown,Bears,Land Animals,#996633,Ivy,Rhode Island
Bradley,Braves,Humans,#fa143f,MVC,Illinois
Bowling Green,Falcons,Birds,#4f2c1d,MAC,Ohio
Boston University,Terriers,Land Animals,#d90400,Pat,Massachusetts
Boston College,Eagles,Birds,#98002e,ACC,Massachusetts
Boise State,Broncos,Humans,#005dab,MWC,Idaho
Binghamton,Bearcats,Land Animals,#006a4e,AE,New York
Bethune-Cookman,Wildcats,Land Animals,#f5ba00,SWAC,Florida
Belmont,Bruins,Land Animals,#00205c,MVC,Tennessee
Bellarmine,Knights,Humans,#752936,ASun,Kentucky
Baylor,Bears,Land Animals,#083a27,B12,Texas
Ball State,Cardinals,Birds,#d90400,MAC,Indiana
BYU,Cougars,Land Animals,#002255,B12,Utah
Austin Peay,Governors,Humans,#C41E3A,Asun,Tennessee
Auburn,Tigers,Land Animals,#f58025,SEC,Alabama
Army,Black Knights,Humans,#ccb284,Pat,New York
Arkansas-Pine Bluff,Golden Lions,Land Animals,#f29103,SWAC,Arkansas
Arkansas-Little Rock,Trojans,Humans,#6e2639,OVC,Arkansas
Arkansas State,Red Wolves,Land Animals,#BE0F34,SB,Arkansas
Arkansas,Razorbacks,Land Animals,#BE0F34,SEC,Arkansas
Arizona State,Sun Devils,Mythical Creatures,#8b2346,P12,Arizona
Arizona,Wildcats,Land Animals,#003366,P12,Arizona
Appalachian State,Mountaineers,Humans,#d6ac00,SB,North Carolina
American University,Eagles,Birds,#cf102d,Pat,District of Columbia
Alcorn State,Braves,Humans,#703690,SWAC,Mississippi
Albany,Great Danes,Land Animals,#1b2777,AE,New York
Alabama State,Hornets,Insects,#f19d17,SWAC,Alabama
Alabama A&M,Bulldogs,Land Animals,#a41e4c,SWAC,Alabama
Alabama,Crimson Tide,Natural Phenomena,#a32136,SEC,Alabama
Akron,Zips,Humans,#00285e,MAC,Ohio
Air Force,Falcons,Birds,#0033a1,MWC,Colorado
Abilene Christian,Wildcats,Land Animals,#68278e,WAC,Texas
